ISBN	rgtn	uke_ymd	title	sub_title	series	auth	cls1	cls2	cls3	pub	pub_year	page	size	ymd
978-4-277661-38-6	0000032944	2003/10/17	中国茶を召し上がれ　／いいものみつけたＡＳＩＡ			邱　世賓／臼田　幸世／古市　由利子	617.4	ｷ		雄鶏社	1998	87	20	2003
978-4-881356-74-6	0000032950	2003/10/01	心や意識は脳のどこにあるのか			ニコラス・ウェイド．編／養老　孟司．解説／木挽く　裕美．訳	491.37	ｳ		翔泳社	1999	331	20	2003
978-4-881356-82-1	0000032952	2003/09/05	化石は愉しい！			ニコラス・ウェイド／冨田　幸光．監修／神保　睦．訳	457	ｳ		翔泳社	1999	328	20	2003
978-4-381010-61-2	0000032954	2003/10/07	自然の復元			松下　忠洋	517	ﾏﾀ		山海堂	1998	163	30	2003
978-4-104017-03-4	0000032958	2003/02/06	ゴールドラッシュ			柳　美里	913.6	ﾕﾐ		新潮社	1998	323	20	2003
978-4-893612-74-8	0000032959	2003/07/27	女の人生選び　／幸福は自分でつかめ！			竹信　三恵子	367.28	ﾀﾐ		はまの出版	1999	276	19	2003
978-4-422215-11-2	0000032961	2003/06/02	ローマ皇帝歴代誌			クリス・スカー／青柳　正規．監修	232.8	ｽ		新潮社	1999	300	22	2003
978-4-401701-50-6	0000032963	2003/11/05	ビートルソングス研究読本			香月　利一	763	ｶﾄ		バーン・コーポレーション	1998	141	26	2003
978-4-761905-93-4	0000032965	2003/07/30	海を越えたボランティア活動　／ラオスに学校を贈った生徒会			岡崎　伸二	369.2	ｵｼ		学事出版	1998	219	19	2003
978-4-104260-01-0	0000032966	2003/01/27	日蝕			平野　啓一郎	913.6	ﾋ		新潮社	1999	189	20	2003
978-4-884932-77-0	0000032967	2003/09/21	汚れた腸が病気をつくる　／腸をクリーンにする究極的方法			バーナード・ジェンセン．著／月村　澄枝．訳	491.146	ｼﾞ		ダイナミックセラーズ出版	1999	250	19	2003
978-4-810422-62-7	0000032969	2003/07/05	ハノイからの招待状			東郷　仁／古屋　典子	292.31	ﾄｼ		同朋舎	1996	175	19	2003
978-4-761905-99-6	0000032970	2003/07/29	中学校・高等学校　ボランティア活動実践事例集			小川　剛．監修／小野　満禎子．編	369.2	ｵﾂ		学事出版	1998	126	21	2003
978-4-087743-80-7	0000032971	2003/01/08	あなたがほしい			安達　千夏	913.6	ｱ		集英社	1999	180	20	2003
978-4-062091-89-3	0000032972	2003/04/12	この国の失敗の本質			柳田　邦男	916	ﾔｸ		講談社	1999	341	20	2003
978-4-886029-18-8	0000032973	2003/08/16	暮らしの伝承　／迷信と科学のあいだ			蒲田　春樹	385	ｶﾊ		朱鷺書房	1998	253	19	2003
978-4-022586-33-9	0000032974	2003/05/21	日本の発掘　１９９１〜１９９５／新遺跡カタログＶｏｌ．４			アサヒグラフ．編	210.3	ｱ	4	朝日新聞社	1997	215	26	2003
978-4-828200-74-3	0000032975	2003/10/20	「ペンション・おもしろ経営学」　／人生を豊かにするジョイフルビジネス			鷹巣　幸司	689.8	ﾀｺ		評言社	1989	212	18	2003
978-4-002401-02-7	0000032976	2003/06/04	源氏物語　索引　／新日本古典文学大系　別巻		新日本古典文学大系　別巻	柳井　滋．他	910.8	ﾔｼ	別	岩波書店	1999	725	22	2003
978-4-809672-57-6	0000032977	2003/07/08	休日はアフリカで			内田　淳	294.09	ｳｼ		大修館書店	1998	281	19	2003
978-4-309962-14-6	0000032979	2003/06/29	世界地図の楽しい読み方【ビジュアル版】			ロム・インターナショナル．編	290.38	ﾕ		河出書房新社	1998	126	29	2003
978-4-309962-15-3	0000032980	2003/08/05	教科書にも載っていない日本地図の楽しい読み方　【ビジュアル版】		河出ムック	河出書房新社	290.38	ﾕ		河出書房新社	1998	127	29	2003
978-4-759282-17-7	0000032981	2003/07/29	知っていますか？／視覚障害者の暮らし　［一問一答］			楠　敏雄．監修／全国障害者解放運動連絡会議・関西ブロック．編	369.27	ｸﾄ		解放出版社	1997	127	21	2003
978-4-759282-20-7	0000032982	2003/07/29	知っていますか？／聴覚障害者の暮らし　［一問一答］			稲葉　通太．監修／草の根ろうあ者こんだん会．編	369.27	ｸ		解放出版社	1998	123	21	2003
978-4-759282-19-1	0000032983	2003/07/27	知っていますか？　／外国人労働者とその家族の人権［一問一答］			丹羽　雅雄	329.21	ﾆﾏ		解放出版社	1998	132	21	2003
978-4-759282-14-6	0000032984	2003/05/25	知っていますか？　沖縄　一問一答			金城　実	219.9	ｷﾐ		解放出版社	1998	136	21	2003
978-4-106027-57-4	0000032986	2003/01/22	闇の楽園		新潮ミステリー倶楽部	戸梶　圭太	913.6	ﾄ		新潮社	1999	381	20	2003
978-4-309012-60-5	0000032987	2003/01/13	二匹			鹿島田　真希	913.6	ｶ		河出書房新社	1999	144	20	2003
978-4-620312-70-5	0000032989	2003/10/03	カルテの内側　／心の病いを癒します			栗原　雅直	498.14	ｸﾏ		毎日新聞社	1998	237	20	2003
