ISBN,登録番号,受入日,title,書名かな,副書名,副書名かな,series,叢書名等かな,著者名,著者名かな,媒体種別,分類記号,図書記号,巻冊記号,出版社,版年,頁数,判型,本体価格,TRCMARCNO,内容紹介,件名,財源,受入先,価格,保管場所,別置記号,備考,付記事項,注記,除籍フラグ,除籍年月日,除籍番号,除籍理由,不明図書フラグ,不明日,不明理由,未点検回数,帯出禁止フラグ,バーコード印刷済フラグ,背ラベル印刷済フラグ,任意項目,
9788-853001351,81403,2024/09/13,Pride and prejudice,,,,Reading and training  intermediate,,Jane Austen,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 4.5 200000w,False,,,,False,,,,False,False,True,,
9788-853001351,81404,2024/09/13,Pride and prejudice,,,,Reading and training  intermediate,,Jane Austen,,,837.7,RE,,Black Cat,2003,160p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 200000w,False,,,,False,,,,False,False,True,,
9788-877545602,81405,2024/09/13,Board games,,,,Reading and training  intermediate,,James Butler,,,837.7,RE,,Black Cat,2000,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 11000w,False,,,,False,,,,False,False,True,,
9788-877545602,81406,2024/09/13,Board games,,,,Reading and training  intermediate,,James Butler,,,837.7,RE,,Black Cat,2000,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCR5 YL4.5 11000w,False,,,,False,,,,False,False,True,,
9788-853006387,81407,2024/09/13,The Canterbury tales,,,,Reading and training  step 4  B2.1,,Geoffrey Chaucer,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT4 YL3.5-4.5 9700w,False,,,,False,,,,False,False,True,,
9788-853004833,81408,2024/09/13,The woman in white,,,,Reading and training  Step 4 B2.1,,Wilkie Collins,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT4 YL4.5 11400w,False,,,,False,,,,False,False,True,,
9788-853004833,81409,2024/09/13,The woman in white,,,,Reading and training  Step 4 B2.1,,Wilkie Collins,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT4 YL4.5 11400w,False,,,,False,,,,False,False,True,,
9788-853004833,81410,2024/09/13,The woman in white,,,,Reading and training  Step 4 B2.1,,Wilkie Collins,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT4 YL4.5 11400w,False,,,,False,,,,False,False,True,,
9788-853004833,81411,2024/09/13,The woman in white,,,,Reading and training  Step 4 B2.1,,Wilkie Collins,,,837.7,RE,,Black Cat,2007,111p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT4 YL3.5-4.5 11400w,False,,,,False,,,,False,False,True,,
9788-877546012,81412,2024/09/13,Great expectations,,,,Reading and training  intermediate,,Charles Dickens,,,837.7,RE,,Black Cat,2002,159p,21cm,,,,,寄贈,寄贈者,,英語多読図書,,,,BCT5 YL4.5-5.5 21000w,False,,,,False,,,,False,False,True,,
