978-4-494027-29-3	0090003889	2003/07/17	うしなわれた秘宝　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	2	童心社	2003	154	18	2003
978-4-494027-32-3	0090003890	2003/07/17	ダイヤモンドの都　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	3	童心社	2003	158	18	2003
978-4-494027-35-4	0090003891	2003/07/17	海賊船シンドバッド　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	4	童心社	2003	158	18	2003
978-4-494027-44-6	0090003892	2003/07/17	空とぶ城　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	5	童心社	2003	158	18	2003
978-4-494027-47-7	0090003893	2003/07/17	海の王冠　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	6	童心社	2003	156	18	2003
978-4-494027-51-4	0090003894	2003/07/17	ガラスの子馬　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	7	童心社	2003	155	18	2003
978-4-494027-57-6	0090003895	2003/07/17	闇色の竜　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	8	童心社	2003	157	18	2003
978-4-494027-59-0	0090003896	2003/07/17	魔法の杖　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	9	童心社	2003	157	18	2003
978-4-494027-62-0	0090003897	2003/07/17	最後の戦い　／シェーラひめのぼうけん		フォア文庫	村山　早紀．作／佐竹　美保．絵	913.6	ﾑｻ	10	童心社	2002	157	18	2003
978-4-840213-88-2	0090003900	2003/07/25	猫の地球儀　／焔の章		電撃文庫	秋山　瑞人	913.6	ｱﾐ	1	メディアワークス	2002	251	15	2003
978-4-840214-87-2	0090003901	2003/07/25	猫の地球儀　／幽の章		電撃文庫	秋山　瑞人	913.6	ｱﾐ	2	メディアワークス	2002	259	15	2003
978-4-313750-24-1	0090003902	2003/07/25	沖田総司　〈下〉／六月は真紅の薔薇		人物文庫	三好　徹	913.6	ﾐﾄ	下	学陽書房	2002	390	15	2003
	0090003903	2003/07/25	国連大学考			平野　三郎	319.9	ﾋｻ	下	岐阜日日新聞社	1972	155	18	2003
	0090003904	2003/07/25	日本国憲法　／和英完全対照条文付			自由国民社	323.1	ｼﾞ		自由国民社	2000	127	19	2003
	0090003905	2003/07/25	Ａｃｔ　Ａｇａｉｎｓｔ　ＡＩＤＳ		パンフ	アミューズ	338.03	ﾆﾖ		アミューズ	1997	51	19	2003
	0090003906	2003/07/25	先達に聞く　／チェーンストアのポテンシャルと歴史的革命			日本チェーンストア協会	336.738	ﾆ		日本チェーンストア協会	1998	279	19	2003
978-4-534024-10-7	0090003907	2003/07/25	入門の入門　／生命保険のしくみ			畠中　雅子／小川　千尋．著	339.4	ﾊﾏ		日本実業出版社	1995	173	21	2003
	0090003909	2003/07/25	マスコミ学がわかる。　／ＡＥＲＡ　Ｍｏｏｋ２		雑誌・別冊	朝日新聞社	361.45	ｱ		朝日新聞社	1994	200	26	2003
978-4-101339-20-7	0090003913	2003/08/02	すみれの花の砂糖づけ		新潮文庫	江國　香織	911.56	ｴｶ		新潮社	2002	177	15	2003
978-4-101339-15-3	0090003914	2003/08/02	流しのしたの骨		新潮文庫	江國　香織	913.6	ｴｶ		新潮社	1999	310	15	2003
978-4-101339-12-2	0090003915	2003/08/02	こうばしい日々		新潮文庫	江國　香織	913.6	ｴｶ		新潮社	2003	177	15	2003
978-4-101339-14-6	0090003916	2003/08/02	ホリー・ガーデン		新潮文庫	江國　香織	913.6	ｴｶ		新潮社	2003	327	15	2003
978-4-101339-13-9	0090003917	2003/08/02	つめたいよるに		新潮文庫	江國　香織	913.6	ｴｶ		新潮社	2003	209	15	2003
978-4-043480-03-6	0090003918	2003/08/02	冷静と情熱のあいだ		角川文庫	江國　香織	913.6	ｴｶ		角川書店	2002	275	15	2003
978-4-043480-02-9	0090003919	2003/08/02	泣かない子供		角川文庫	江國　香織	914.6	ｴｶ		角川書店	2002	221	15	2003
978-4-167631-02-4	0090003920	2003/08/02	溺レる		文春文庫	川上　弘美	913.6	ｶﾋ		文藝春秋	2003	205	15	2003
978-4-101292-32-8	0090003921	2003/08/02	おめでとう		新潮文庫	川上　弘美	913.6	ｶﾋ		文藝春秋	2003	213	15	2003
978-4-167561-02-4	0090003922	2003/08/02	南の島のティオ		文春文庫	池澤　夏樹	913.6	ｲﾅ		文藝春秋	2002	238	15	2003
978-4-167561-05-5	0090003923	2003/08/02	タマリンドの木		文春文庫	池澤　夏樹	913.6	ｲﾅ		文藝春秋	1999	221	15	2003
978-4-167561-04-8	0090003924	2003/08/02	骨は珊瑚、眼は真珠		文春文庫	池澤　夏樹	913.6	ｲﾅ		文藝春秋	1998	254	15	2003
978-4-122018-59-4	0090003925	2003/08/02	スティル・ライフ		中公文庫	池澤　夏樹	913.6	ｲﾅ		中央公論社	2003	212	15	2003
978-4-122017-12-2	0090003926	2003/08/02	夏の朝の成層圏		中公文庫	池澤　夏樹	913.6	ｲﾅ		中央公論社	2003	255	15	2003
978-4-122020-36-8	0090003927	2003/08/02	真昼のプリニウス		中公文庫	池澤　夏樹	913.6	ｲﾅ		中央公論社	2002	265	15	2003
978-4-022640-42-0	0090003928	2003/08/02	エデンを遠く離れて		朝日文庫	池澤　夏樹	914.6	ｲﾅ		朝日新聞社	1994	237	15	2003
978-4-122038-09-7	0090003929	2003/08/02	ジョン・レノン　ラスト・インタビュー		中公文庫	ジョン・レノン／オノ・ヨーコ／アンディー・ピーブルズ／池澤　夏樹．訳	936	ﾚ		中央公論社	2001	179	15	2003
978-4-101318-18-9	0090003930	2003/08/02	明るい旅情		新潮文庫	池澤　夏樹	915.6	ｲﾅ		新潮社	2001	246	15	2003
978-4-101318-17-2	0090003931	2003/08/02	ハワイイ紀行　【完全版】		新潮文庫	池澤　夏樹	915.6	ｲﾅ		新潮社	2000	558	15	2003
978-4-101318-11-0	0090003932	2003/08/02	バビロンに行きて歌え		新潮文庫	池澤　夏樹	913.6	ｲﾅ		新潮社	2002	295	15	2003
978-4-073059-46-2	0090003933	2003/08/02	新フォーチュン・クエスト　／リプレイ１／霧の谷のキノコ		電撃文庫	深沢　美潮／はせがわ　みやび	913.6	ﾌﾐ	ﾘ1	メディアワークス	1997	255	15	2003
978-4-073075-14-1	0090003934	2003/08/02	新フォーチュン・クエスト　／リプレイ２／鐘の音の響くとき		電撃文庫	深沢　美潮／はせがわ　みやび	913.6	ﾌﾐ	ﾘ2	メディアワークス	1997	240	15	2003
978-4-876994-64-9	0090003935	2003/08/02	高校生が考えた「居住福祉」			早川　和男／一番ヶ瀬　康子／土山　秀夫／ブライアン・バークガフニ／長崎総合科学大学建築学科	369	ﾅ		クリエイツかもがわ	2000	85	19	2003
978-4-875552-94-9	0090003936	2003/08/02	おばあちゃんの介護保険			石田　光広．企画構成／岡野　克哉．画	367.7	ｲﾐ		公人の友社	2000	30	26	2003
978-4-773332-96-4	0090003937	2003/08/15	アメリカ禁煙革命			花井　喜六	369.8	ﾊｷ		近代文藝社	1995	200	20	2003
	0090003938	2003/08/15	教育学のすすめ		学問のすすめ　１３	斎藤　喜博	370.7	ｻｷ	13	筑摩書房	1984	274	20	2003
978-4-106005-60-2	0090003939	2003/08/15	秘伝・中学入試国語読解法		新潮選書	石原　千秋	376.8	ｲﾁ		新潮社	1999	410	19	2003
978-4-337476-08-0	0090003940	2003/08/15	法律をつくった高校生			樋渡　直哉	376.4	ﾋﾅ		国土社	1993	150	21	2003
	0090003941	2003/08/15	定本　柳田國男集　〈別巻５〉		全集	柳田　國男	380.8	ﾔｸ	別5	筑摩書房	1980	661	23	2003
978-4-140805-59-6	0090003942	2003/08/15	週刊こどもニュース　［２０００年版］			週刊こどもニュース・フロジェクト．編	379	ｴ	2000	日本放送出版協会	2000	158	17	2003
978-4-000093-03-3	0090003943	2003/08/15	平和を創る発想法　／紛争から和解へ		岩波ブックレット６０３	ヨハン・ガルトゥング／京都−ＹＷＣＡほーぽのぽのの会	319.8	ｶﾞ	603	岩波書店	2003	55	21	2003
