ISBN	rgtn	title	auth	series	pub	pub_year	page	size	cls1	cls2	cls3
9788-853003669	81517	The diamond as big as the Ritz	F. Scott Fitzgerald	Reading and training  Step 3 B1.2	Black Cat	2006	96p	21cm	837.7	RE	
9788-853008350	81518	The strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	Reading and training  step 3  B1.2	Black Cat	2008	85p	21cm	837.7	RE	
9788-853008350	81519	The strange case of Dr. Jekyll and Mr. Hyde	Robert Louis Stevenson	Reading and training  step 3  B1.2	Black Cat	2008	85p	21cm	837.7	RE	
9788-853006592	81520	The Canterville ghost	Oscar Wilde	Reading and training  step 3  B1.2	Black Cat	2007	111p	21cm	837.7	RE	
9788-853002914	81521	Great mysteries of our world	Gina D. B. Clemen	Reading and training  elementary  step 3 B1.2	Black Cat	2005	96p	21cm	837.7	RE	
9788-877547576	81522	Alien at school	Michelle Brown 	Reading and training  elementary  step 3 B1.2	Black Cat	1998	96p	21cm	837.7	RE	
9788-853000194	81523	The strange case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	Reading and training  elementary  step 3	Black Cat	2003	96p	21cm	837.7	RE	
9788-853005977	81524	The sign of four	Sir Arthur Conan Doyle	Reading and training  Step 4 B2.1	Black Cat	2007	126p	21cm	837.7	RE	
9788-853001641	81525	Famous British criminals from The Newgate calendar	Victoria Spence	Reading and training  step 4 B2.1	Black Cat	2005	112p	21cm	837.7	RE	
9788-853000217	81526	American horror : three terrifying tales	Edgar Allan Poe	Reading and training  Step4 B2.1	Black Cat	2003	110p	21cm	837.7	RE	
9788-853000217	81527	American horror : three terrifying tales	Edgar Allan Poe	Reading and training  Step4 B2.1	Black Cat	2003	110p	21cm	837.7	RE	
9788-877549297	81528	Tom Jones	Henry Fielding	Reading and training  pre-intermediate	Black Cat	2003	144p	21cm	837.7	RE	
9788-853001214	81529	The turn of the screw	Henry James	Reading and training  pre-intermediate	Black Cat	2004	128p	21cm	837.7	RE	
9788-853001214	81530	The turn of the screw	Henry James	Reading and training  pre-intermediate	Black Cat	2004	128p	21cm	837.7	RE	
9788-853001214	81531	The turn of the screw	Henry James	Reading and training  pre-intermediate	Black Cat	2004	128p	21cm	837.7	RE	
9788-853001214	81532	The turn of the screw	Henry James	Reading and training  pre-intermediate	Black Cat	2004	128p	21cm	837.7	RE	
9788-853004130	81533	Daisy Miller	Henry James	Reading and training  Step 4　B2.1	Black Cat	2006	94p	21cm	837.7	RE	
9788-853004130	81534	Daisy Miller	Henry James	Reading and training  Step 4　B2.1	Black Cat	2006	94p	21cm	837.7	RE	
9788-853004130	81535	Daisy Miller	Henry James	Reading and training  Step 4　B2.1	Black Cat	2006	94p	21cm	837.7	RE	
9788-853001351	81536	Pride and prejudice	Jane Austen	Reading and training  intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-853001351	81537	Pride and prejudice	Jane Austen	Reading and training  intermediate	Black Cat	2003	160p	21cm	837.7	RE	
9788-853009562	81538	Kim	Rudyard Kipling	Reading and training  step 3  B1.2	Black Cat	2009	127p	21cm	837.7	RE	
9788-853008305	81539	True adventures stories	Peter Foreman	Reading and training  step 3  B1.2	Black Cat	2008	111p	21cm	837.7	RE	
9788-877549334	81540	Vanity fair	William Makepeace Thackeray	Reading and training  intermediate	Black Cat	2004	144p	21cm	837.7	RE	
9788-877549334	81541	Vanity fair	William Makepeace Thackeray	Reading and training  intermediate	Black Cat	2004	144p	21cm	837.7	RE	
9788-853002952	81542	A study in scarlet	Sir Arthur Conan Doyle	Reading and training  Step 4　B2.1	Black Cat	2006	111p	21cm	837.7	RE	
9788-853002952	81543	A study in scarlet	Sir Arthur Conan Doyle	Reading and training  Step 4　B2.1	Black Cat	2006	111p	21cm	837.7	RE	
9788-853001542	81544	Much ado about nothing	William Shakespeare	Reading and training  pre-intermediate	Black Cat	2003	128p	24cm	837.7	RE	
9788-853000330	81545	A midsummer night's dream	William Shakespeare	Reading and training  pre-intermediate  step 4	Black Cat	2003	95p	24cm	837.7	RE	
9788-877546081	81546	The taming of the shrew	William Shakespeare	Reading and training  intermediate	Black Cat	2000	127p	24cm	837.7	RE	
9788-877549105	81547	Heart of darkness	Joseph Conrad	Reading and training  intermediate	Black Cat	2003	112p	24cm	837.7	RE	
9788-877549105	81548	Heart of darkness	Joseph Conrad	Reading and training  intermediate	Black Cat	2003	112p	24cm	837.7	RE	
9788-877549105	81549	Heart of darkness	Joseph Conrad	Reading and training  intermediate	Black Cat	2003	112p	24cm	837.7	RE	
