ISBN	rgtn	ukeymd	title	auth	pub	pub_year	page	size	series	cls1	cls2	cls3	ukeymd_1
9784-480069436	81309	2024/7/31	ＬＧＢＴを読みとく	森山 至貴 著	筑摩書房	2017	237p	18cm	ちくま新書　１２４２	367.9	ﾓﾘ		202407
9784-815615604	81310	2024/7/31	２２世紀の民主主義	成田 悠輔 著	ＳＢクリエイティブ	2022	255p	18cm	ＳＢ新書　５８６	311.7	ﾅﾘ		202407
9784-622088141	81311	2024/7/31	科学者は、なぜ軍事研究に手を染めてはいけないか	池内 了 著	みすず書房	2019	252 6p	20cm		407	ｲｹ		202407
9784-334045500	81312	2024/7/31	「日本型格差社会」からの脱却	岩田 規久男 著	光文社	2021	363p	18cm	光文社新書　１１４２	332.1	ｲﾜ		202407
9784-087212488	81313	2024/7/31	未来倫理	戸谷 洋志 著	集英社	2023	233p	18cm	集英社新書　１１４８	150	ﾄﾔ		202407
9784-480684301	81314	2024/7/31	「みんな違ってみんないい」のか？	山口 裕之 著	筑摩書房	2022	220p	18cm	ちくまプリマー新書　４０５	104	ﾔﾏ		202407
9784-120054389	81315	2024/7/31	つながり続けるこども食堂	湯浅 誠 著	中央公論新社	2021	261p	20cm		369.4	ﾕｱ		202407
9784-480074256	81316	2024/7/31	批評の教室	北村 紗衣 著	筑摩書房	2021	238p	18cm	ちくま新書　１６００	901.4	ｷﾀ		202407
9784-334045609	81317	2024/7/31	日本の食と農の未来	小口 広太 著	光文社	2021	242p	18cm	光文社新書　１１５３	612.1	ｵｸﾞ		202407
9784-750338255	81318	2024/7/31	まんがクラスメイトは外国人　入門編　はじめて学ぶ多文化共生	「外国につながる子どもたちの物語」編集委員会 編　みなみ ななみ まんが	明石書店	2013	176p	21cm		334.4	ｶﾞｲ		202407
9784-309463995	81319	2024/9/2	リンバロストの乙女. 上	G・ポーター 著、村岡花子 訳	河出書房新社	2014	349p	15cm	河出文庫 ; ホ4-1	933.7	ﾎﾟｰ	上	202409
9784-309464008	81320	2024/9/2	リンバロストの乙女. 下	G・ポーター 著、村岡花子 訳	河出書房新社	2014	312p	15cm	河出文庫 ; ホ4-2	933.7	ﾎﾟｰ	下	202409
9784-004320180	81322	2024/9/11	なぜ難民を受け入れるのか	橋本 直子 著	岩波書店	2024	15 259 6p	18cm	岩波新書　新赤版　２０１８	369.3	ﾊｼ		202409
9784-004320197	81323	2024/9/11	不適切保育はなぜ起こるのか	普光院 亜紀 著	岩波書店	2024	8 213p	18cm	岩波新書　新赤版　２０１９	376.1	ﾌｺ		202409
9784-004320203	81324	2024/9/11	古墳と埴輪	和田 晴吾 著	岩波書店	2024	10 281 9p	18cm	岩波新書　新赤版　２０２０	210.3	ﾜﾀﾞ		202409
9784-005009862	81325	2024/9/11	ムクウェゲ医師、平和への闘い	立山 芽以子 著　華井 和代 著　八木 亜紀子 著	岩波書店	2024	15 156p	18cm	岩波ジュニア新書　９８６	367.2	ﾀﾃ		202409
9784-005009879	81326	2024/9/11	フレーフレー！就活高校生	中島 隆 著	岩波書店	2024	14 228p	18cm	岩波ジュニア新書　９８７	366.2	ﾅｶ		202409
9784-000272575	81327	2024/9/11	中学生からの絵本のトリセツ	川口 かおる 著	岩波書店	2024	9 116p	19cm	岩波ジュニアスタートブックス　ジュニスタ	019.5	ｶﾜ		202409
9784-002710938	81328	2024/9/11	選択的夫婦別姓	寺原 真希子 著　三浦 徹也 著	岩波書店	2024	78p	21cm	岩波ブックレット　Ｎｏ．１０９３	324.6	ﾃﾗ		202409
9784-002710945	81329	2024/9/11	農業が温暖化を解決する！	枝廣 淳子 著	岩波書店	2024	70p	21cm	岩波ブックレット　Ｎｏ．１０９４	610.4	ｴﾀﾞ		202409
9784-488559052	81330	2024/9/11	伝説とカフェラテ	トラヴィス・バルドリー 著　原島 文世 訳	東京創元社	2024	396p	15cm	創元推理文庫　Ｆハ３－１	933.7	ﾊﾞﾙ		202409
9784-150114374	81331	2024/9/11	ドゥームズデイ・ブック　上	コニー・ウィリス 著　大森 望 訳	早川書房	2003	539p	16cm	ハヤカワ文庫　ＳＦ　１４３７	933.7	ｳｨ	1	202409
9784-907239053	81332	2024/9/11	九月、東京の路上で	加藤 直樹 著	ころから	2014	215p	20cm		210.6	ｶﾄ		202409
9784-813790808	81333	2024/9/11	雨上がり、君が映す空はきっと美しい	汐見 夏衛 著	スターツ出版	2021	325p	19cm		913.6	ｼｵ		202409
9784-569903125	81334	2024/9/11	転職の魔王様　〔１．０〕	額賀 澪 著	ＰＨＰ研究所	2023	315p	15cm	ＰＨＰ文芸文庫　ぬ１－１	913.6	ﾇｶ	1	202409
9784-408538563	81335	2024/9/11	クスノキの女神	東野 圭吾 著	実業之日本社	2024	312p	19cm		913.6	ﾋｶﾞ		202409
9784-866141268	81336	2024/9/11	中学生・高校生でも盛り上がる！学級レク厳選１２０	春野 伸一 著	ほんの森出版	2022	143p	21cm		374.9	ﾊﾙ		202409
9784-267020599	81337	2024/9/11	目の見えないアスリートの身体論	伊藤 亜紗 著	潮出版社	2016	204p	18cm	潮新書	780	ｲﾄ		202409
9784-780429053	81338	2024/9/11	パラスポーツ事典	高橋 明 監修	メイツユニバーサルコンテンツ	2024	144p	21cm	ジュニアコツがわかる本	780.6	ﾀｶ		202409
9784-845119110	81339	2024/9/11	もしもミツバチが世界から消えてしまったら	有沢 重雄 著　中村 純 監修	旬報社	2024	186p	19cm		646.9	ｱﾘ		202409
9784-794224712	81340	2024/9/11	ミツバチと文明	クレア・プレストン 著　倉橋 俊介 訳	草思社	2020	220 18p	19cm		646.9	ﾌﾟﾚ		202409
9784-422400693	81341	2024/9/11	スマート農業	中野 明正 著	創元社	2024	174p	21cm	やさしく知りたい先端科学シリーズ　１１	614.8	ﾅｶ		202409
9780-194230810	81342	2024/9/13	Cry Freedom	John Briley	Oxford University Press	2000	120p	20cm	Oxford Booksworms Library 6	837.7	OX		202409
9780-194230612	81343	2024/9/13	The Dead of Jericho	Colin Dexter	Oxford University Press	2000	120	20cm	Oxford Booksworms Library 6	837.7	OX		202409
9780-194230711	81344	2024/9/13	King's Ransom	Ed McBain	Oxford University Press	2000	104	20cm	Oxford Booksworms Library 6	837.7	OX		202409
9780-194792158	81345	2024/9/13	The Accidental Tourist	Anne Tyler	Oxford Unniversity Press	2004	104p	20cm	Oxford Bookworms Library Stage 5	837.7	OX		202409
